from	from_type	type	to	to_type
hearsay evidentiality		relation	evidentiality	
OV (word order)		relation	word order	
topicalization		relation	long-distance dependency	
polarity sensitivity		relation	one + mo `even'	
transformational grammar		relation	Mainstream Generative Grammar	
Head-Driven Phrase Structure Grammar (HPSG)		relation	nontransformational syntax	
verb second		relation	verb movement	
argument ellipsis		relation	ellipsis	
pied-piping		relation	relative clause	
respective/symmetrical/summative reading interaciton		relation	respective reading	
nominative		relation	morphological case	
across-the-board movement (ATB movement)		relation	Mainstream Generative Grammar	
finite control		relation	control	
yo		relation	sentence-final particle	
Experiencer PPs as arguments		relation	psychological predicate	
kara (as SFP)		relation	sentence-final particle	
multiple symmetrical/respective predication		relation	respective reading	
VP ellipsis		relation	ellipsis	
izyoo/gurai		relation	comparative	
outlook marker		relation	perspective sensitivity	
sentence-final particle		relation	discourse marker	
CP domain		relation	clause structure	
that-trace effect		relation	syntactic island	
amari/sonnani		relation	attenuating polarity item	
relative clause		relation	long-distance dependency	
comparative deletion		relation	Mainstream Generative Grammar	
kurai		relation	downtoner (discourse marker)	
coordinate structure		relation	coordination	
Experiencer PPs as subjects		relation	psychological predicate	
sluicing		relation	ellipsis	
grammatical aspect		relation	aspect	
even (focus particle)		relation	scalarity	
ne		relation	sentence-final particle	
multiple wh-movement		relation	wh-movement (phenomenon)	
movement + deletion analysis (of ellipsis)		relation	Mainstream Generative Grammar	
object shift		relation	Mainstream Generative Grammar	
rokuna (NPI)		relation	emphatic polarity item	
Adjunct Island		relation	syntactic island	
expletive		relation	Extended Projection Principle (EPP)	
lexical aspect		relation	aspect	
Experiencer PPs as adjuncts		relation	psychological predicate	
nanka		relation	discourse marker	
attenuating polarity item		relation	polarity sensitivity	
focus movement		relation	Mainstream Generative Grammar	
Gapping		relation	coordination	
kedo (as SFP)		relation	sentence-final particle	
concessive conditional		relation	concessive	
respective/symmetrical/summative reading interaciton		relation	summative predicate	
Combinatory Categorial Grammar (CCG)		relation	Categorial Grammar (CG)	
kakera (NPI)		relation	emphatic polarity item	
ellipsis-containing antecedent (ellipsis)		relation	VP ellipsis	
predicate ellipsis		relation	ellipsis	
extraction		relation	long-distance dependency	
presupposition projection		relation	presupposition	
hodo		relation	comparative	
inchoative		relation	lexical aspect	
verb-stranding VP-ellipsis		relation	VP ellipsis	
multiple respective reading		relation	respective reading	
Abstract Categorial Grammar		relation	Type-Logical Grammar	
downtoner (discourse marker)		relation	outlook marker	
Multi-Modal Type-Logical Categorial Grammar		relation	Type-Logical Grammar	
causal dependence		relation	causality	
non-isomorphic sluicing		relation	predicative copular clause analysis of sluicing	
preposition		relation	adposition	
Element Constraint		relation	Coordinate Structure Constraint (CSC)	
nominal ellipsis		relation	ellipsis	
respective/symmetrical/summative reading interaciton		relation	symmetrical predicate	
presuppositional island		relation	weak island	
null Case		relation	structural Case	
multiple symmetrical/respective predication		relation	internal reading	
internal reading with universal		relation	internal reading	
wh island		relation	weak island	
phrasal comparative		relation	comparative	
subject–aux(iliary) inversion		relation	word order	
auxiliary ordering		relation	word order	
progressive		relation	grammatical aspect	
perfect		relation	grammatical aspect	
nanka		relation	focus particle	
degree modifier		relation	modification	
Left Branch Constraint		relation	syntactic island	
SVO (word order)		relation	word order	
Dependent Type Semantics		relation	dynamic semantics	
karatoitte		relation	discourse connective	
abstract Case		relation	case	
non-coordinate Gapping		relation	Gapping	
movement + deletion analysis (of ellipsis)		relation	syntactic deletion	
E-type anaphora		relation	anaphora	
Displacement Calculus		relation	Type-Logical Grammar	
free word order		relation	word order	
indirect passive		relation	passive	
bound variable anaphora (BVA)		relation	anaphora	
Hybrid Type-Logical Categorial Grammar (H-TLCG)		relation	Type-Logical Grammar	
kurai		relation	outlook marker	
exophoric ellipsis		relation	ellipsis	
extraction out of ellipsis		relation	VP ellipsis	
Type-Logical Grammar		relation	Categorial Grammar (CG)	
主語格		relation	文(時枝誠記)	
Takita2018		relation	Takita2018-17aii	
Sugisaki2013		relation	Oku1998	
KimuraNarita2023		relation	KimuraNarita2023-3b-ii	
Landau2023		relation	Landau2023-28A	
Chomsky2015a		relation	InTheDomainOf	
AkuzawaKubota2021		relation	argument against defective tense	
Takita2024KLS		relation	Takita2024KLS-15b	
Futagi2004		relation	Case Follows	
Panagiotidis2003b		relation	OHE22-Nominal-Ellipsis-n4iia	
Sugisaki2008		relation	poverty of stimulus	
KimuraNarita2021		relation	KimuraNarita2021-16i	
IzumiEtAl2024		relation	和泉らの「希望」定義	
Saito2015		relation	Saito2015-29b	
Saito2015		relation	Saito2015-45aii	
Kobayashi2023		relation	Mainstream Generative Grammar	
TrotzkeVillalba2021		relation	TrotzkeVillalba2021-21bi	
NaritaFukui2022		relation	NF4-148b	
Kuno1982		relation	Kuno 1982-sec3-23a	
Saito2015		relation	Saito2015-37ai	
Saito2015		relation	Saito2015-26b	
KimuraNarita2023		relation	KimuraNarita2023-6a-i	
IdoEA2021		relation	semantic approach to NPI licensing	
Sugisaki2016b		relation	Sugisaki2016b-7b	
Chomsky1986		relation	Chomsky1986-38	
Takita2018		relation	Takita2018-39e	
Kuno1982		relation	Kuno 1982-26b	
Takita2024KLS		relation	Takita2024KLS-22b	
Sugisaki2013		relation	Universal Grammar (UG)	
GrantCliftonFrazier2012		relation	experimental evidence	
NaritaFukui2022		relation	NF5-116f	
Miller1990		relation	anaphoric analysis (ellipsis)	
Fukui1993		relation	Parameter Value Preservation (PVP)	
Kratzer1991		relation	contextualism	
Aikawa1999		relation	Aikawa1999-fn32di	
Takita2024KLS		relation	Takita2024KLS-15a	
KimuraNarita2021		relation		
NaritaFukui2022		relation	NF4-18b	
Sugisaki2016b		relation	Sugisaki2016b-7aii	
Takahashi2016		relation	Takahashi2016-88a	
Morin2008		relation	Morin2008-25b	
SugisakiMurasugi2016		relation	subject-orientation of zibun	
NaritaFukui2022		relation	NF5-59	
Rizzi2017		relation	Rizzi2017-4d	
Chomsky2020		relation	FormSequence	
Sugisaki2016b		relation	Sugisaki2016b-12a	
AkuzawaKubota2025		relation	AkuzawaKubota2021	
Ross1967a		relation	island	
Kishimoto2008MS		relation	Kishimoto2008MS-31a	
Takita2024KLS		relation	null adjunct	
Morin2008		relation	Morin2008-24b	
SugisakiMurasugi2016		relation	SugisakiMurasugi2016-26a	
Saito2012b		relation	Saito2012b-30b	
Kuno1982		relation	Kuno 1982-23a	
Oshima2004		relation	Oshima2004-13	
Whitman2009		relation	Multi-Modal Type-Logical Categorial Grammar	
Saito2015		relation	Saito2015-n3i	
KimuraNarita2021		relation	KimuraNarita2021-10bii	
Chomsky2001		relation	Agree	
KubotaLevine2020		relation	island violation	
Kuno1982		relation	Kuno 1982-sec1-22b	
KimuraNarita2025d		relation	KimuraNarita2025d-7A1	
Rizzi2017		relation	Rizzi2017-25	
Saito2015		relation	Saito2015-16b	
Sugisaki2013		relation	Argument Ellipsis Possible in Japanese	
Otsu1999		relation	Otsu1999-37ii	
Anderbois2018OHE		relation	OHE10-ellipsis-in-inquisitive-semantics-6b	
Miyamoto2016		relation	Miyamoto2016-38a	
Saito2015		relation	Saito2015-31c	
IdoKubota2021		relation	Shoji1986	
Sakamoto2016a		relation	sakEx35	
SaitoLinMurasugi2008		relation	OHE22-Nominal-Ellipsis-60c	
Lakoff1970		relation	OHE22-Nominal-Ellipsis-14a	
OtaniWhitman1991		relation	Kishimoto2008MS-1b-sloppy	
Merchant2001		relation	movement + deletion analysis (of ellipsis)	
Fujii2004		relation	Fujii2004-3	
Aikawa1999		relation	Aikawa1999-36b	
Saito2015		relation	Saito2015-22c	
Aikawa1999		relation	Aikawa1999-48aii	
BekkiMineshima2017		relation	dependent type	
Saito2015		relation	Saito2015-44	
Otsu1999		relation	Otsu1999-37i	
Yamaguchi2024		relation	Yamaguchi2024-19a	
Kathol1995		relation	Linearization-based HPSG	
MichaelW.Daniels2002		relation	feature neutralization	
Sugisaki2016		relation	Sugisaki2016-37b-ii-sloppy	
Rizzi2017		relation	Rizzi2017-36'b	
KubotaLevine2020		relation	remnant extraction (VP ellipsis)	
Koizumi2008MS		relation	Koizumi2008MS-13a	
NaritaFukui2022		relation	Minimalist Program (MP)	
Sakamoto2022		relation	sakamoto2022_16a	
Ishihara2021		relation	Ishihara2021-15aii	
Takita2024KLS		relation	Takita2024KLS-13ci	
KimuraNarita2021		relation	KimuraNarita2021-21ai	
AoiShirashiB.HemforthA.Abeillé2016		relation	Head-Driven Phrase Structure Grammar (HPSG)	
Kuno1982		relation	Kuno 1982-sec3-12c	
HauserChomskyFitch2002		relation	Only homo sapiens has Merge	
Kluender1998		relation	processing-based analysis of islands	
AgbayaniZoerner2004		relation	Minimalist Program (MP)	
Kuno1982		relation	Kuno 1982-18a	
Matsui2013		relation	pragmatic strengthening	
Morin2008		relation	Morin2008-8b	
Saito2012b		relation	Saito2012b-35b	
Oshima2004		relation	second-person zibun	
Sugisaki2022		relation	AE-sloppy	
Morin2008		relation	Morin2008-31	
Chomsky1986		relation	Chomsky1986-66a	
NaritaFukui2022		relation	NF5-214b	
Oshima2004		relation	Oshima2004-6	
Akuzawa2018		relation	Japanese allows non-null obligatorily controlled subjects	
VerstraeteD'Hertefelt2016		relation	VerstraeteD'Hertefelt2016-47bi	
Chomsky1986		relation	Chomsky1986-82b	
Takita2018		relation	Takita2018-42k	
VerstraeteD'Hertefelt2016		relation	VerstraeteD'Hertefelt2016-34	
PotterEA2017		relation	Mainstream Generative Grammar	
Kuno1982		relation	Kuno 1982-sec3-14b	
Saito2012b		relation	Saito2012b-27b	
Ishihara2021		relation	Ishihara2021-20b	
Kuno1982		relation	Kuno 1982-sec3-17a	
Takahashi2016		relation	Takahashi2016-92a	
Hardt1999		relation	anaphoric analysis (ellipsis)	
Takita2018		relation	Takita2018-17ai	
HiroseNawata2017		relation	HiroseNawata2017-35ii	
PollardSag1994		relation	syntactic account of islands	
KimuraNarita2025d		relation	KimuraNarita2025d-26A	
NaritaFukui2022		relation	NF5-14A1	
NaritaFukui2022		relation	aboutnessProposition	
Kishimoto2008MS		relation	kishimoto2008MS-5a-sloppy	
Chomsky1986		relation	Chomsky1986-76	
Kuroda1965		relation	biclausal analysis of Japanese causative	
Koizumi2008MS		relation	Koizumi2008MS-5a	
Saito2015		relation	Saito2015-28a	
Ishihara2021		relation	Ishihara2021-1i	
Saito2015		relation	Saito2015-5a	
KubotaEA2019		relation	underspecification semantics	
Culicover2021		relation	universal conceptual structure	
NaritaFukui2022		relation	No null C	
Potsdam2007		relation	non-isomorphic sluicing	
Morin2008		relation	Morin2008-16	
Sugisaki2016		relation	Suigisaki2016-16b	
Maeda2013		relation	OHE22-Nominal-Ellipsis-85b	
SaitoLinMurasugi2008		relation	OHE22-Nominal-Ellipsis-60a	
Stowell1981		relation	X-bar theory	
Ishihara2021		relation	Ishihara2021-5a	
NaritaFukui2022		relation	NF5-160	
KimuraNarita2025c		relation	KimuraNarita2025c-40A	
FujiiEA2023		relation	finite control	
KubotaLevine2020		relation	direct coordination analysis (of NCC)	
NaritaFukui2022		relation	NF3-30a	
Chomsky1986		relation	Chomsky1986-168a	
Rizzi2017		relation	Rizzi2017-31b	
VerstraeteD'Hertefelt2016		relation	VerstraeteD'Hertefelt2016-12	
Miyagawa2010		relation	Strong Uniformity	
Saito2015		relation	Saito2015-51	
AkuzawaKubota2025		relation	Akuzawa2018	
Abe2011		relation	abe2011LR	
Rizzi2017		relation	Rizzi2017-28	
Jacobson2008		relation	variable-free semantics	
Kishimoto2008MS		relation	Kishimoto2008MS-29b	
Aikawa1999		relation	Aikawa1999-62ii	
HukariLevine1995		relation	Head-Driven Phrase Structure Grammar (HPSG)	
Aikawa1999		relation	Aikawa1999-6a-ii	
KimuraNarita2025c		relation	KimuraNarita2025c-69ai	
Landau2023		relation	Landau2023-27	
Ishihara2021		relation	Ishihara2021-5b	
Kobayashi2024		relation	Kobayashi2024-19	
VerstraeteD'Hertefelt2016		relation	VerstraeteD'Hertefelt2016-n2i	
Kishimoto2007		relation	NEG-movement	
NaritaFukui2022		relation	NF5-n14ic	
Chomsky1986a		relation	barrier	
RizziShlonsky2007		relation	Subject Criterion	
NaritaFukui2022		relation	TO-equilibrium	
Takahashi2016		relation	Takahashi2016-48a	
KimuraNarita2025d		relation	KimuraNarita2025d-17	
Aikawa1999		relation	Aikawa1999-38	
Otsu1999		relation	Otsu1999-37iii	
Kuno1981		relation	comparative deletion	
KimuraNarita2025c		relation	KimuraNarita2025c-21	
Chomsky1986		relation	Chomsky1986-125	
PogodallaPompigne2012		relation	dependent type	
AkuzawaKubota2024		relation	Stiebels2007	
Kishimoto2008MS		relation	Kishimoto2008MS-31b	
NaritaFukui2022		relation	NF4-139c	
NaritaFukui2022		relation	NF4-42a	
Muraki1978		relation	c-command NPI licensing of sika	
TrotzkeVillalba2021		relation	TrotzkeVillalba2021-5a	
PotterEA2017		relation	Minimalist Program (MP)	
NaritaFukui2022		relation	NF5-n10i	
Fujii2016		relation	Fujii2016-59aii	
Merchant2008a		relation	pseudogapping as VP ellipsis	
Yamaguchi2024		relation	Yamaguchi2024-25a-ii	
Kuno1982		relation	Kuno 1982-2b	
Kuno1982		relation	Kuno 1982-sec3-12b	
Levin1979		relation	discourse structure	
KubotaLevine2017		relation	pseudogapping as VP ellipsis	
NaritaFukui2022		relation	NF4-143b	
Kuroda1983		relation	double case marking	
Yamaguchi2024		relation	Yamaguchi2024-36	
PollardWorth2015		relation	Linear Categorial Grammar	
Saito2015		relation	Saito2015-1	
KubotaLee2015		relation	Kehler2002	
Saito2012b		relation	Saito2012b-30a	
Takita2024KLS		relation	Takita2024KLS-14ci	
Saito2012b		relation	Saito2012b-46a	
Chaves2014		relation	prosodic deletion	
KimuraNarita2025d		relation	KimuraNarita2025d-7B1-iv	
Kobayashi2024		relation	Adjunct ellipsis is possible	
NaritaFukui2022		relation	NF5-n8i	
Fujii2004		relation	Fujii2004-6	
KimuraNarita2025c		relation	KimuraNarita2025c-67B''	
Miyamoto2008MS		relation	Miyamoto2008MS-20	
TrotzkeVillalba2021		relation	TrotzkeVillalba2021-3c	
Morin2008		relation	Morin2008-30b	
Warner1993		relation	lexicalist syntax	
Hirose2018		relation	Hirose2018-17-direct	
Ido2022		relation	semantic approach to NPI licensing	
Chomsky1986		relation	Chomsky1986-63a	
HiroseNawata2017		relation	HiroseNawata2017-27d	
Saito2015		relation	Saito2015-23	
Tsujimura1994		relation	Direct Object Restriction	
Chomsky1986		relation	Chomsky1986-104a	
HiroseNawata2017		relation	HiroseNawata2017-13bii	
Futagi2004		relation	Scope Ceiling	
Dowty1988		relation	function composition	
KimuraNarita2021		relation		
Miyagawa1999		relation	Miyagawa1999-4i	
Saito2016		relation	Saito2016-31	
Chomsky1986		relation	Chomsky1986-122a	
Steedman1996		relation	direct coordination analysis (of NCC)	
Rizzi2017		relation	Rizzi2017-14a	
Winter2001		relation	choice function	
Aikawa1999		relation	Aikawa1999-48bii	
MaxwellManning1996		relation	Lexical Functional Grammar (LFG)	
OtaniWhitman1991		relation	VP ellipsis	
BekkiMineshima2017		relation	Dependent Type Semantics	
Kishimoto2008MS		relation	Kishimoto2008MS-4a	
Ishihara2021		relation	Ishihara2021-4a	
Aikawa1999		relation	Aikawa1999-5	
KimuraNarita2025d		relation	KimuraNarita2025d-1B3	
KimuraNarita2025c		relation	KimuraNarita2025c-12B	
Chomsky1986		relation	Chomsky1986-86b	
Otsu1999		relation	Otsu1999-29i	
Chomsky2021		relation	Learnability	
Corver2011		relation	OHE22-Nominal-Ellipsis-17b	
Hayashishita2007		relation	comparison of deviation	
Takita2007		relation	OHE22-Nominal-Ellipsis-79	
HiroseNawata2017		relation	HiroseNawata2017-39a	
Pentus1993		relation	Lambek calculus	
Chomsky1986		relation	Chomsky1986-118b	
Takahashi1994		relation	OHE20-Sluicing-and-Its-Subtypes-n15i	
AkuzawaKubota2024		relation	Smirnova2009	
NaritaFukui2022		relation	NF5-64	
KubotaLevine2021a		relation	Warner1993	
時枝1941		relation	辞(時枝誠記)	
Aihara2007		relation	yagiEtAl2022_11	
Iwasaki2018		relation	Iwasaki2018-6a-ii	
Saito2012b		relation	Saito2012b-5a	
Grebenyova2006b		relation	OHE20-Sluicing-and-Its-Subtypes-n8i	
NakamuraI2022		relation	Generalized Predication	
Aikawa1999		relation	Aikawa1999-12	
AkuzawaKubota2024		relation	Smirnova2010	
いのほた言語学チャンネル:392		relation	メモリ消失問題	
Lin2005		relation	S-structure Effect	
Gazdar1981		relation	Generalized Phrase Structure Grammar (GPSG)	
NaritaFukui2022		relation	NF5-4a	
CitkoGračanin-Yuksek2021		relation	Parallel Merge	
VerstraeteD'Hertefelt2016		relation	VerstraeteD'Hertefelt2016-1	
Ishihara2021		relation	Ishihara2021-n7i-ii-ii	
NaritaFukui2022		relation	NF5-196a	
KimuraNarita2025c		relation	Ø-Insertion of Ellipsis	
Aikawa1999		relation	Aikawa1999-41b	
Takita2024KLS		relation	Takita2024KLS-22c	
LohndalNarita2009		relation	generative grammar	
KubotaLevine2020		relation	hypothetical reasoning	
Hirose2018		relation	Hirose2018-57a	
Chaves2013		relation	processing-based analysis of islands	
NaritaFukui2022		relation	NF3-28bii	
Saab2016		relation	OHE22-Nominal-Ellipsis-67-i	
Hirose2018		relation	Hirose2018-27-ii	
Takano2008MS		relation	c-commanding requirement of zibun binding	
KimuraNarita2025d		relation	KimuraNarita2025d-23A	
Kuno1982		relation	Kuno 1982-sec2-17a	
Takita2024KLS		relation	Takita2024KLS-13bi	
Hirose2018		relation	Hirose2018-64b	
Lasnik1999		relation	object shift	
NaritaFukui2022		relation	NF4-13	
Hirose2018		relation	Hirose2018-46b	
NaritaFukui2022		relation	NF5-15A2	
Bach1979		relation	wrapping	
NaritaFukui2022		relation	FI	
Otsu1999		relation	Otsu1999-33iv	
NaritaFukui2022		relation	strict NTC	
Mueller2010		relation	Minimalist Program (MP)	
Sugisaki2016b		relation	Sugisaki2016b-6b	
Yamaguchi2024		relation	Yamaguchi2024-18a	
KubotaIdo2025b		relation	KubotaIdo2025b-9B2	
Aikawa1999		relation	Aikawa1999-14b	
Aikawa1999		relation	Aikawa1999-fn3a	
Rizzi1982		relation	Subjacency	
Takita2024KLS		relation	pragmatic enrichment for null adjuncts	
KimuraNarita2025d		relation	KimuraNarita2025d-7B1-ii	
Asher1986		relation	Discourse Representation Theory (DRT)	
Toosarvandani2013		relation	syntactic deletion	
CulicoverJackendoff2005		relation	island violation	
Saito2015		relation	Saito2015-43a	
Chomsky1986		relation	Chomsky1986-104b	
Saito2015		relation	Saito2015-38a	
Chomsky2019		relation	Determinacy	
Rizzi2017		relation	Rizzi2017-50	
KubotaLevine2017		relation	connectivity effects	
HiroseNawata2017		relation	HiroseNawata2017-32i	
Takahashi2008MS		relation	Takahashi2008MS-13a	
Ihara2024		relation	Question Under Discussion (QUD)	
KimuraNarita2025c		relation	KimuraNarita2025c-54A	
Saito2015		relation	Saito2015-50a	
Saito2015		relation	Saito2015-42b	
Larson2003		relation	OHE22-Nominal-Ellipsis-3d	
NaritaFukui2022		relation	NF5-181	
Kobayashi2024		relation	Kobayashi2024-4	
Ishihara2021		relation	Ishihara2021-n4ii	
TrotzkeVillalba2021		relation	TrotzkeVillalba2021-10	
Futagi2004		relation	Futagi-diss-2i	
Chaves2014		relation	extraposition	
Yatabe2001		relation	Linearization-based HPSG	
Nunes2001		relation	sideways/sideward movement	
Fujii2004		relation	Fujii2004-fn6(ii)	
Rizzi2017		relation	Rizzi2017-32b	
Takita2018		relation	Takita2018-29b	
Nakanishi2006b		relation	scope theory of even	
Yamaguchi2024		relation	Yamaguchi2024-18c	
Dowty1996a		relation	wrapping	
Kuno1982		relation	Kuno 1982-20b	
TanakaT2025		relation	Cognitive Linguistics Nonscience	
NaritaFukui2022		relation	NF4-47i	
Ishihara2021		relation	Ishihara2021-22	
NaritaFukui2022		relation	NF4-131a	
Fujii2004		relation	Fujii2004-21b	
Rizzi2017		relation	Rizzi2017-36b	
Hayashishita2009		relation	impoverished AdjP	
KimuraNarita2021		relation	KimuraNarita2021-11a-iv	
HornsteinLightfoot1987		relation	PRO analysis of small clause subjects	
KimuraNarita2021		relation	KimuraNarita2021-11b-vi	
Yamaguchi2024		relation	argument ellipsis	
KubotaEA2019		relation	Geach sentence	
SagEA2019		relation	Construction Grammar	
HiroseNawata2017		relation	HiroseNawata2017-37	
Yamaguchi2024		relation	Yamaguchi2024-43a	
NaritaFukui2022		relation	NF4-139a	
NaritaFukui2022		relation	NF5-209b	
Takita2018		relation	Takita2018-16	
Sakamoto2022		relation	sakamoto2022_10b	
NaritaFukui2022		relation	NF4-131b	
ParkEA2019		relation	underspecification semantics	
KubotaLevine2020		relation	KLM overgeneration (coordination)	
Aikawa1999		relation	Aikawa1999-63b	
Chomsky1986		relation	Chomsky1986-62a	
KimuraNarita2023		relation	KimuraNarita2023-2b-ii	
HiroseNawata2017		relation	HiroseNawata2017-35i	
Rizzi2017		relation	Rizzi2017-41a	
BakerBrame1972		relation	island evasion approach	
HiroseNawata2017		relation	HiroseNawata2017-38bi	
Kathol2000		relation	Linearization-based HPSG	
Kuno1982		relation	Kuno 1982-n6i	
NaritaFukui2022		relation	NF5-61ga	
Kishimoto2016		relation	Kishimoto2016-26bii	
Sugisaki2016		relation	Sugisaki2016-14bii-sloppy	
Kuno1982		relation	Kuno 1982-sec1-23b	
Aikawa1999		relation	Aikawa1999-fn32a	
Saito2012b		relation	Saito2012b-16b	
Oshima2004		relation	Oshima2004-5	
Ishihara2021		relation	Ishihara2021-20a	
Chomsky1981a		relation	move-alpha	
Sawada2013		relation	compositional semantics	
Kuno1982		relation	Kuno 1982-sec2-5a	
Futagi2004		relation	Bayer1995	
NaritaFukui2022		relation	NF4-138a	
MurasugiSugisaki2008MS		relation	MurasugiSugisaki2008MS-66a	
McCready2010		relation	multi-dimensional semantics	
Kurafuji2019		relation	Tomioka2003a	
Chomsky1986		relation	Chomsky1986-67	
NaritaFukui2022		relation	no multiple focus-fronting	
Sakamoto2016a		relation	sakEx37	
VerstraeteD'Hertefelt2016		relation	VerstraeteD'Hertefelt2016-44	
TrotzkeMayol2021		relation	argumentative framework	
Saito2015		relation	Saito2015-14a	
KimuraNarita2025c		relation	KimuraNarita2025c-53A	
Yamaguchi2024		relation	Yamaguchi2024-11a-i	
Abe2015		relation	non-constituent deletion	
Lin2000		relation	Mainstream Generative Grammar	
Panagiotidis2003b		relation	OHE22-Nominal-Ellipsis-n4iiia	
TrotzkeVillalba2021		relation	TrotzkeVillalba2021-2b	
NaritaFukui2022		relation	NF5-178e	
NaritaFukui2022		relation	structure dependence not choice	
HiroseNawata2017		relation	HiroseNawata2017-17a	
Aikawa1999		relation	Aikawa1999-66b	
HiroseNawata2017		relation	HiroseNawata2017-33c	
Kuroda1969		relation	logical subject	
Saito2012b		relation	Saito2012b-52b	
Aikawa1999		relation	Aikawa1999-17	
Hirose2018		relation	Hirose2018-65-ii	
Rooth1985		relation	compositional semantics	
NaritaFukui2022		relation	NF5-23b	
Saito2015		relation	Saito2015-26a	
KimuraNarita2021		relation	KimuraNarita2021-11a-vii	
Miller1990		relation	Generalized Phrase Structure Grammar (GPSG)	
KimuraNarita2021		relation	KimuraNarita2021-2	
Saito2012b		relation	Saito2012b-32b	
Ishihara2021		relation	Saito2012	
Chomsky1986		relation	Chomsky1986-56	
HalleMarantz1993		relation	Vocabulary Insertion Competition Hypothesis	
Coppock2001		relation	movement + deletion analysis (of ellipsis)	
Rizzi2017		relation	Rizzi2017-1	
Hayashishita2009		relation	pos morpheme	
VerstraeteD'Hertefelt2016		relation	VerstraeteD'Hertefelt2016-41aii	
BeaversSag2004		relation	Head-Driven Phrase Structure Grammar (HPSG)	
AkuzawaKubota2024		relation	Farkas1988	
Hirose2018		relation	Hirose2018-20-ii	
KimuraNarita2025c		relation	KimuraNarita2025c-53Bii	
KubotaLevine2021a		relation	Bach1980	
Kishimoto2008MS		relation	Kishimoto2008MS-14a	
Rizzi2017		relation	Rizzi2017-53a	
AnderBois2014		relation	OHE10-ellipsis-in-inquisitive-semantics-27	
Saito2012b		relation	Saito2012b-34iii	
KimuraNarita2021		relation	KNGeneralization	
Takita2024KLS		relation	Sakamoto2020	
Chomsky1986		relation	Chomsky1986-41	
Sugisaki2013		relation		
ParkEA2019		relation	Head-Driven Phrase Structure Grammar (HPSG)	
Hendriks1995a		relation	Multi-Modal Type-Logical Categorial Grammar	
NaritaFukui2022		relation	NF5-2a	
Kim1999		relation	indexing theory	
Kuroda1983		relation	dependent case	
HiroseNawata2017		relation	HiroseNawata2017-23i	
NaritaFukui2022		relation	SS1	
Chaves2012		relation	Head-Driven Phrase Structure Grammar (HPSG)	
KimuraNarita2025d		relation	KimuraNarita2025d-25B1	
NaritaFukui2022		relation	ubiquity of movement	
Merchant2001		relation	syntactic identity condition (ellipsis)	
AkuzawaKubota2025		relation	KubotaAkuzawa2020	
Saito2015		relation	Saito2015-20	
SuzukiMatsumoto2022		relation	Japanese tits can distinguish A R and AR	
Kuno1982		relation	Kuno 1982-17e	
NaritaFukui2022		relation	NF3-29d	
Saito2015		relation	Saito2015-24bi	
NaritaFukui2022		relation	NF5-195b	
Chaves2014		relation	Sign-Based Construction Grammar (SBCG)	
Kobayashi2023		relation	Gapping (hypothesis)	
NaritaFukui2022		relation	Multiplicity of Transfer	
Futagi2004		relation	Futagi-diss-6	
NaritaFukui2022		relation	NF4-36b	
NaritaFukui2022		relation	NF4-47b	
Hirose2018		relation	Hirose2018-47	
Payne2013		relation	OHE22-Nominal-Ellipsis-19c	
Bayer1996		relation	case syncretism	
Muskens2003		relation	prosodic lambda binding	
Chomsky1986		relation	Chomsky1986-118d	
Miyagawa1999		relation	Miyagawa1999-7bii	
Jacobson2008		relation	Categorial Grammar (CG)	
Giannakidou1999b		relation	Recoverability of the Descriptive Content in Nominal Subdeletion	
KimuraNarita2025d		relation	KimuraNarita2025d-24B3	
Veltman1996		relation	dynamic semantics	
Takita2018		relation	Takita2018-42h	
HiroseNawata2017		relation	HiroseNawata2017-20ai	
Kuno1982		relation	Kuno 1982-n88ii	
NaritaFukui2022		relation	NF4-43b	
NaritaFukui2022		relation	NF5-n10ii	
Y.Hasegawa2018ST		relation	Y.Hasegawa2018ST-7a-i	
NaritaFukui2022		relation	XPYP over XPYP ok	
Chomsky2015a		relation	phaselevel memory	
Funakoshi2016		relation	pseudogapping as VP ellipsis	
Miller2014		relation	TLS275	
Chaves2012		relation	Linearization-Based Ellipsis (LBE)	
NaritaFukui2022		relation	NF2-2-31	
Chomsky2015a		relation	Phasehood Inheritance	
NaritaFukui2022		relation	NF5-163a	
AkuzawaKubota2020		relation	Smirnova2010	
YatabeTam2019		relation	Minimal Recursion Semantics (MRS)	
Aikawa1999		relation	Aikawa1999-8-ii	
Takita2010		relation	Ko2005	
Gengel2013		relation	focus movement	
Takita2011b		relation	Argument Ellipsis Possible in Japanese	
KimuraNarita2025b		relation	KimuraNarita2025d-1A	
NaritaFukui2022		relation	No about aboutness	
NaritaFukui2022		relation	NF1-40b	
AdesSteedman1982		relation	type-raising	
Landau2023		relation	Landau2023-12B'	
KimuraNarita2025c		relation	KimuraNarita2025c-56Bii	
KubotaLevine2023		relation	Kluender1998	
Barker2013		relation	parasitic scope	
Morin2008		relation	Morin2008-3a	
Saito2015		relation	Saito2015-46a	
Kuroda1988		relation	X-bar theory	
Kishimoto2009		relation	idiom-move-ex1	
OtaniWhitman1991		relation	Kishimoto2008MS-1a	
KimuraNarita2025d		relation	KimuraNarita2025d-1B2	
Saito2012b		relation	Saito2012b-49	
Ishihara2021		relation	Ishihara2021-15ai	
NaritaFukui2022		relation	NF5-43c	
Saito2012b		relation	Saito2012b-9	
Chomsky2021		relation	GenuineExplanation	
