from	from_type	type	to	to_type
Binding Condition A		relation	2013_Chomsky-4a	
Kuno 1982-sec2-16a		relation	Surface Subject Constraint	
Empty Category Principle (ECP)		relation	2013_Chomsky-14	
Double-o constraint		relation	doc3	
syntactic island		relation	island	
c-commanding requirement of zibun binding		relation	MurasugiSugisaki2008MS-37b	
Kuroda1986a-6		relation	Subject ni Raising	
funakoshi2016aSec.2		relation	null adjunct	
		relation		
NF3-29		relation	NF3-43	
OHE10-ellipsis-in-inquisitive-semantics-28		relation	OHE10-ellipsis-in-inquisitive-semantics-10a	
Transfer Multiple Agreement		relation	NF3-49	
Categorial Grammar (CG)		relation	Categorial Grammar (CG)	
		relation		
locality condition on sloppy reading in VP-ellipsis		relation	Kishimoto2008MS-4b-sloppy	
		relation		
ADC		relation	empty C no movement	
MERGE		relation	No Select	
Symmetrizing Syntax		relation	SS1	
OHE16-Movement-and-Islands-11d		relation	OHE16-Movement-and-Islands-11c	
NP-Ellipsis		relation	OHE22-Nominal-Ellipsis-19e	
cleft analysis of sluicing		relation	OHE20-Sluicing-and-Its-Subtypes-20b-i	
		relation		
		relation		
Empty Noun		relation	OHE22-Nominal-Ellipsis-10b	
Active and Passive Discourse-Rule Violations		relation	Kuno 1982-sec3-25d	
exhaustification-based NPI licensing		relation	exhaustification-based NPI licensing	
positional faithfulness		relation	Faithfulness Constraints	
Head-Driven Phrase Structure Grammar (HPSG)		relation	Head-Driven Phrase Structure Grammar (HPSG)	
V_self-sustainable		relation	V2_established	
Pecking Order of Deletion Principle		relation	Kuno 1982-sec2-5b	
non-coordinate Gapping		relation	non-coordinate Gapping	
		relation		
Williams1977		relation	locality condition on sloppy reading in VP-ellipsis	
no checking-Merge		relation	No special feature involved in focus-movement	
NP-Ellipsis		relation	OHE22-Nominal-Ellipsis-83c	
X⁰-status_not		relation	negative_not_contracted	
Type-Logical Grammar		relation	Type-Logical Grammar	
Kuroda1986a-5		relation	Linear Case Marking	
feature inheritance		relation	2013_Chomsky-25	
Kuroda1986a-86		relation	tough sentence (in Japanese)	
No phi-agreement requirement in Japanese		relation	nonnominal subjects in Japanese	
